FID,OBJECTID,PERIMETER,POLYID,SNBNAME,population,Income,cohgisCOHG,cohgisCO_1,COUNCIL_AC,RECOGNITIO,SnbrInfoUR,WeCan,Top10,Shape__Area,Shape__Length
80,83,53183.903,31,MEYERLAND AREA,21445,81408,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_31.htm, , ,14145107.8,18679.82666
76,79,70198.434,20,MID WEST,50017,53102,0,0,Yes,2008-09-09T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_20.htm, , ,18622413.37,24676.52692
78,81,27528.497,62,MIDTOWN,8597,77261,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_62.htm, , ,4290520.543,9680.574045
18,19,80038.578,77,MINNETEX,6303,45109,0,0,Yes,2001-03-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_77.htm,Y, ,28811438.27,28133.65054
72,75,16994.764,66,MUSEUM PARK,5509,101703,0,0,Yes,2010-05-18T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_66.htm, , ,1935884.918,5978.558671
19,20,50141.033,51,NEAR NORTHSIDE,59410,33713,0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_51.htm,Y, ,14987704.75,17659.50558
85,88,38737.33,24,NEARTOWN - MONTROSE,31037,85296,0,0,Yes,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_24.htm, , ,11276448.2,13627.71238
14,15,110804.437,58,NORTHSHORE,28790,41497,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_58.htm, , ,31989728.49,38973.23697
34,36,102420.982,45,NORTHSIDE/NORTHLINE,59410,33713,0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_45.htm, ,Y,34985395.42,36090.30126
63,66,41012.682,74,PARK PLACE,9898,37486,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_74.htm, , ,6378505.805,14412.1313
54,57,28105.214,70,PECAN PARK,16245,34622,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_70.htm, , ,5734192.664,9871.264345
13,14,47322.95,57,PLEASANTVILLE AREA,2860,32899,0,0,Yes,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_57.htm, , ,12220831.21,16667.52294
2,2,43118.77,63,SECOND WARD,13139,39146,0,0,Yes,2008-05-13T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_63.htm,Y,Y,9946346.129,15159.73197
25,27,33779.628,50,SETTEGAST,2981,28821,0,0,Yes,2000-08-24T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_50.htm,Y, ,6898101.84,11896.71682
44,46,72720.943,26,SHARPSTOWN,77220,33086,0,0, , ,http://www.houstontx.gov/superneighborhoods/profiles/SN_26.htm, , ,29414563.79,25618.51221
49,52,71756.689,76,SOUTH ACRES / CRESTMONT PARK,19137,46175,0,0,Yes,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_76.htm, , ,23238944.38,25210.11398
48,51,161035.331,80,SOUTH BELT / ELLINGTON,64667,57488,0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/profiles/SN_80.htm, , ,71436744.29,56551.10526
