Location,Indicator Rate Value,Indicator Rate Value Units,Rate Lower Confidence Interval,Rate Upper Confidence Interval,Period of Measure
77018,81565,dollars,74549,88581,2013-2017
77018,73274,dollars,65549,80999,2012-2016
77018,69048,dollars,63034,75062,2011-2015
77018,65919,dollars,61851,69987,2010-2014
77018,61980,dollars,58223,65737,2009-2013
77018,59510,dollars,54724,64296,2008-2012
77018,56342,dollars,51484,61200,2007-2011
77019,117367,dollars,110329,124405,2014-2018
77019,112243,dollars,104339,120147,2013-2017
77019,102521,dollars,96104,108938,2012-2016
77019,101297,dollars,94851,107743,2011-2015
77019,92844,dollars,85147,100541,2010-2014
77019,87394,dollars,81743,93045,2009-2013
77019,87582,dollars,81203,93961,2008-2012
77019,90000,dollars,80619,99381,2007-2011
77020,30187,dollars,28174,32200,2014-2018
77020,27587,dollars,25177,29997,2013-2017
77020,26896,dollars,24875,28917,2012-2016
77020,27052,dollars,24749,29355,2011-2015
77020,27871,dollars,24679,31063,2010-2014
77020,29401,dollars,25941,32861,2009-2013
77020,28217,dollars,25122,31312,2008-2012
77020,27700,dollars,23725,31675,2007-2011
77021,37318,dollars,32979,41657,2014-2018
77021,35126,dollars,32021,38231,2013-2017
77021,32404,dollars,29024,35784,2012-2016
77021,32800,dollars,29640,35960,2011-2015
77021,32391,dollars,29180,35602,2010-2014
77021,31103,dollars,29624,32582,2009-2013
77021,32096,dollars,29735,34457,2008-2012
77021,31114,dollars,29019,33209,2007-2011
77022,30900,dollars,28942,32858,2014-2018
77022,30164,dollars,28177,32151,2013-2017
77022,29277,dollars,27319,31235,2012-2016
77022,30852,dollars,28745,32959,2011-2015
77022,30011,dollars,27956,32066,2010-2014
77022,28810,dollars,26690,30930,2009-2013
77022,27895,dollars,24843,30947,2008-2012
77022,26305,dollars,23586,29024,2007-2011
77023,40261,dollars,37631,42891,2014-2018
77023,37462,dollars,34504,40420,2013-2017
77023,35723,dollars,33290,38156,2012-2016
77023,36065,dollars,33533,38597,2011-2015
77023,37361,dollars,34219,40503,2010-2014
77023,36033,dollars,33678,38388,2009-2013
77023,37735,dollars,34449,41021,2008-2012
77023,35673,dollars,32912,38434,2007-2011
77024,116920,dollars,110408,123432,2014-2018
77024,118561,dollars,108217,128905,2013-2017
77024,114336,dollars,105057,123615,2012-2016
77024,114223,dollars,105397,123049,2011-2015
77024,114864,dollars,105365,124363,2010-2014
77024,111139,dollars,104065,118213,2009-2013
77024,108068,dollars,102422,113714,2008-2012
77024,106052,dollars,100484,111620,2007-2011
77025,74792,dollars,68514,81070,2014-2018
77025,71990,dollars,66627,77353,2013-2017
77025,67548,dollars,64536,70560,2012-2016
77025,66559,dollars,62108,71010,2011-2015
77025,65524,dollars,61290,69758,2010-2014
77025,65828,dollars,62131,69525,2009-2013
77025,64202,dollars,59746,68658,2008-2012
77025,62895,dollars,58462,67328,2007-2011
77026,29393,dollars,27790,30996,2014-2018
77026,26644,dollars,24105,29183,2013-2017
77026,25354,dollars,22846,27862,2012-2016
77026,22242,dollars,19258,25226,2011-2015
77026,21335,dollars,19476,23194,2010-2014
77026,20024,dollars,18034,22014,2009-2013
77026,20200,dollars,18164,22236,2008-2012
77026,21434,dollars,19421,23447,2007-2011
77027,95835,dollars,88595,103075,2014-2018
77027,91296,dollars,81691,100901,2013-2017
77027,88471,dollars,80473,96469,2012-2016
77027,89276,dollars,77952,100600,2011-2015
77027,82038,dollars,74279,89797,2010-2014
77027,81661,dollars,72604,90718,2009-2013
77027,81202,dollars,71771,90633,2008-2012
77027,81076,dollars,72224,89928,2007-2011
77028,30108,dollars,27117,33099,2014-2018
77028,30233,dollars,26646,33820,2013-2017
77028,29272,dollars,25972,32572,2012-2016
77028,29953,dollars,25863,34043,2011-2015
77028,31440,dollars,28245,34635,2010-2014
77028,29389,dollars,25964,32814,2009-2013
77028,31509,dollars,27041,35977,2008-2012
77028,30807,dollars,27340,34274,2007-2011
77029,34967,dollars,30566,39368,2014-2018
77029,32200,dollars,29790,34610,2013-2017
77029,31296,dollars,29254,33338,2012-2016
77029,28797,dollars,24354,33240,2011-2015
77029,30019,dollars,26663,33375,2010-2014
77029,31715,dollars,29609,33821,2009-2013
77029,30811,dollars,29005,32617,2008-2012
77029,31037,dollars,28694,33380,2007-2011
77030,86034,dollars,73792,98276,2014-2018
77030,75290,dollars,67564,83016,2013-2017
77030,73689,dollars,67872,79506,2012-2016
77030,71883,dollars,64750,79016,2011-2015
77030,71078,dollars,63630,78526,2010-2014
77030,68980,dollars,61735,76225,2009-2013
77030,67790,dollars,53435,82145,2008-2012
77030,75968,dollars,61379,90557,2007-2011
77031,50155,dollars,43245,57065,2014-2018
77031,44459,dollars,38595,50323,2013-2017
77031,41976,dollars,38150,45802,2012-2016
77031,39787,dollars,36744,42830,2011-2015
77031,38677,dollars,37058,40296,2010-2014
77031,39278,dollars,36765,41791,2009-2013
77031,41769,dollars,37999,45539,2008-2012
77031,42966,dollars,40038,45894,2007-2011
77032,30855,dollars,26470,35240,2014-2018
77032,30451,dollars,26045,34857,2013-2017
77032,26061,dollars,21566,30556,2012-2016
77032,23498,dollars,21144,25852,2011-2015
77032,23363,dollars,21489,25237,2010-2014
77032,23389,dollars,21788,24990,2009-2013
77032,22389,dollars,20564,24214,2008-2012
77032,22447,dollars,19674,25220,2007-2011
77033,36438,dollars,34413,38463,2014-2018
77033,33750,dollars,31350,36150,2013-2017
77033,31037,dollars,29331,32743,2012-2016
77033,28845,dollars,26395,31295,2011-2015
77033,28125,dollars,25551,30699,2010-2014
77033,27272,dollars,25413,29131,2009-2013
77033,28510,dollars,25999,31021,2008-2012
77033,30561,dollars,28474,32648,2007-2011
77034,48764,dollars,45471,52057,2014-2018
77034,47252,dollars,42781,51723,2013-2017
77034,45271,dollars,40647,49895,2012-2016
77034,43814,dollars,41265,46363,2011-2015
77034,44827,dollars,42288,47366,2010-2014
77034,43905,dollars,41382,46428,2009-2013
77034,44519,dollars,41457,47581,2008-2012
77034,42997,dollars,40313,45681,2007-2011
77035,43503,dollars,38198,48808,2014-2018
77035,44546,dollars,41146,47946,2013-2017
77035,38729,dollars,35579,41879,2012-2016
77035,38889,dollars,36274,41504,2011-2015
